Sequence,Credits,Type,Flag,Num,Taken
MATH 121,4.0,,0,0,False
MATH 122,4.0,,0,0,False
MATH 123,4.0,,0,0,False
MATH 200,4.0,,0,0,False
MATH 201 | MATH 261,3.0-4.0,,4,0,False
MATH 210 | MATH 262 ^ MATH 220 [WI] ^ MATH 221 ^ MATH 222 [WI] ^ MATH 235 ^ MATH 250 ^ MATH 285 ^ MATH 291 ^ MATH 300 ^ MATH 301 ^ MATH 305 ^ MATH 311 ^ MATH 312 ^ MATH 313 ^ MATH 316 ^ MATH 318 [WI] ^ MATH 319 ^ MATH 320 ^ MATH 321 ^ MATH 322 ^ MATH 323 ^ MATH 331 ^ MATH 332 ^ MATH 387 ^ MATH 401 ^ MATH 402 ^ MATH 410 ^ MATH 411 ^ MATH 422 ^ MATH 449 ^ MATH 450 ^ MATH 475 ^ MATH 483 ^ MATH 489,18.0-19.0,,6,0,False
