Sequence,Credits,Type,Flag,Num,Taken
GEO 101,4.0,,0,0,False
GEO 102,4.0,,0,0,False
Elective,16.0,GEO,1,0,False
GEO 103,16.0,,0,0,False
GEO 201 [WI],16.0,,0,0,False
GEO 205,16.0,,0,0,False
GEO 215,16.0,,0,0,False
GEO 301,16.0,,0,0,False
GEO 306,16.0,,0,0,False
GEO 309,16.0,,0,0,False
GEO 312,16.0,,0,0,False
GEO 320,16.0,,0,0,False
GEO 322,16.0,,0,0,False
GEO 325,16.0,,0,0,False
GEO 342,16.0,,0,0,False
GEO 346,16.0,,0,0,False
GEO 348,16.0,,0,0,False
GEO 350,16.0,,0,0,False
GEO 401,16.0,,0,0,False
GEO 412,16.0,,0,0,False
GEO 418,16.0,,0,0,False
