Sequence,Credits,Type,Flag,Num,Taken
ECEP 371 | MEM 371,2.0,,4,0,False
ECEP 372,3.0,,0,0,False
ECEP 402,4.0,,0,0,False
ECEP 406,3.0,,0,0,False
PHYS 330,2.0,,6,0,False
ECEP 352,12.0,,0,0,False
ECEP 354,12.0,,0,0,False
ECEP 403,12.0,,0,0,False
ECEP 411,12.0,,0,0,False
ECEP 412,12.0,,0,0,False
MEM 220,12.0,,0,0,False
MEM 345,12.0,,0,0,False
MEM 402,12.0,,0,0,False
MEM 446,12.0,,0,0,False
MEM 447,12.0,,0,0,False
MEM 448,12.0,,0,0,False
MEM 449,12.0,,0,0,False
MATE 230,12.0,,0,0,False
MATE 341,12.0,,0,0,False
MATE 355,12.0,,0,0,False
MATE 370,12.0,,0,0,False
MATE 450,12.0,,0,0,False
CHE 341,12.0,,0,0,False
CHE 342,12.0,,0,0,False
CHE 343,12.0,,0,0,False
CIVE 320,12.0,,0,0,False
PHYS 105,12.0,,0,0,False
PHYS 305,12.0,,0,0,False
