Sequence,Credits,Type,Flag,Num,Taken
CT 212,3.0,Computing Security,0,3,False
CT 312,3.0,Computing Security,0,3,False
CT 400,3.0,Computing Security,0,3,False
CT 412,3.0,Computing Security,0,3,False
CT 432,3.0,Computing Security,0,3,False
CT 250 | CT 382 | CT 393 | CT 414 | CT 415,21.0,Computing Security,2,3,False
