Sequence,Credits,Type,Flag,Num,Taken
CS 380,3.0,Artificial Intelligence and Machine Learning,7,3,False
CS 383,3.0,Artificial Intelligence and Machine Learning,0,3,False
CS 385,3.0,Artificial Intelligence and Machine Learning,0,3,False
CS 387,3.0,Artificial Intelligence and Machine Learning,0,3,False
CS 481,3.0,Artificial Intelligence and Machine Learning,0,3,False
CS 486,3.0,Artificial Intelligence and Machine Learning,0,3,False
DSCI 351,3.0,Artificial Intelligence and Machine Learning,0,3,False
DSCI 471,3.0,Artificial Intelligence and Machine Learning,0,3,False
