Sequence,Credits,Type,Flag,Num,Taken
HIST 230,4.0,,0,0,False
HIST 231,4.0,,0,0,False
MLSC 101,0.0,,0,0,False
MLSC 102,0.0,,0,0,False
MLSC 103,0.0,,0,0,False
MLSC 110,1.0,,0,0,False
MLSC 120,1.0,,0,0,False
MLSC 130,1.0,,0,0,False
MLSC 201,0.0,,0,0,False
MLSC 202,0.0,,0,0,False
MLSC 203,0.0,,0,0,False
MLSC 210,2.0,,0,0,False
MLSC 220,2.0,,0,0,False
MLSC 230,2.0,,0,0,False
MLSC 301,0.0,,0,0,False
MLSC 302,0.0,,0,0,False
MLSC 303,0.0,,0,0,False
MLSC 310,2.0,,0,0,False
MLSC 320,2.0,,0,0,False
MLSC 330,2.0,,0,0,False
MLSC 401,0.0,,0,0,False
MLSC 402,0.0,,0,0,False
MLSC 403,0.0,,0,0,False
MLSC 410,2.0,,0,0,False
MLSC 420,2.0,,0,0,False
MLSC 430,2.0,,0,0,False
