Sequence,Credits,Type,Flag,Num,Taken
THTR 121 [WI],3.0,,3,0,False
THTR 221 [WI] ^ THTR 222 [WI] ^ THTR 231 ^ THTR 232,6.0,,6,0,False
THTR 130,3.0,,0,0,False
THTR 131,3.0,,0,0,False
THTR 132,3.0,,0,0,False
THTR 133,3.0,,0,0,False
THTR 134,3.0,,0,0,False
THTR 141,3.0,,0,0,False
THTR 142,3.0,,0,0,False
THTR 143,3.0,,0,0,False
THTR 144,3.0,,0,0,False
THTR 145,3.0,,0,0,False
THTR 110 ^ THTR 115 ^ THTR 116 ^ THTR 209 ^ THTR 210 ^ THTR 211 ^ THTR 212 ^ THTR 231 ^ THTR 232 ^ THTR 240 ^ THTR 241 ^ THTR 260 ^ THTR 320 ^ THTR 360 ^ THTR I199 ^ THTR I299 ^ THTR I399 ^ THTR I499 ^ THTR T180 ^ THTR T280 ^ THTR T380 ^ THTR T480,12.0,,6,0,False
