Sequence,Credits,Type,Flag,Num,Taken
MGMT 201,4.0,,0,0,False
MGMT 301,4.0,,0,0,False
MGMT 302,4.0,,0,0,False
MGMT 364,4.0,,6,0,False
ACCT 320,8.0,,0,0,False
ACCT 321,8.0,,0,0,False
ACCT 331,8.0,,0,0,False
TAX T480,8.0,,0,0,False
MGMT 370,8.0,,0,0,False
MGMT 371,8.0,,0,0,False
MGMT 372,8.0,,0,0,False
MGMT 380,8.0,,0,0,False
ECON 301,8.0,,0,0,False
ECON 330,8.0,,0,0,False
ECON 338,8.0,,0,0,False
INTB 440,8.0,,0,0,False
INTB 332,8.0,,0,0,False
MGMT 380,8.0,,0,0,False
MKTG 357,8.0,,0,0,False
FIN 302,8.0,,0,0,False
FIN 325,8.0,,0,0,False
FIN 335,8.0,,0,0,False
FIN 339,8.0,,0,0,False
BLAW 321,8.0,,0,0,False
BLAW 340,8.0,,0,0,False
BLAW 346,8.0,,0,0,False
BLAW 360,8.0,,0,0,False
MKTG 347,8.0,,0,0,False
MKTG 355,8.0,,0,0,False
MKTG 364,8.0,,0,0,False
MKTG 365,8.0,,0,0,False
MKTG 367,8.0,,0,0,False
MIS 346,8.0,,0,0,False
MIS 361,8.0,,0,0,False
OPM 315,8.0,,0,0,False
OPM 324,8.0,,0,0,False
OPM 344,8.0,,0,0,False
OPM 341,8.0,,0,0,False
ORGB 400,8.0,,0,0,False
ORGB 420,8.0,,0,0,False
SMT 120,8.0,,0,0,False
SMT 227,8.0,,0,0,False
SMT 250 [WI],8.0,,0,0,False
SMT 285,8.0,,0,0,False
SMT 325,8.0,,0,0,False
CS 150,8.0,,0,0,False
INFO 110,8.0,,0,0,False
INFO 150,8.0,,0,0,False
INFO 215,8.0,,0,0,False
