Sequence,Credits,Type,Flag,Num,Taken
ENGR 280,2.0,,0,0,False
EGMT 350,3.0,,0,0,False
EGMT 465,3.0,,0,0,False
PROJ 401,3.0,,0,0,False
PROJ 435,3.0,,6,0,False
BLAW 340,10.0,,0,0,False
ECON 342,10.0,,0,0,False
EGMT T380,10.0,,0,0,False
INTB 200,10.0,,0,0,False
INTB 332,10.0,,0,0,False
INTB 334,10.0,,0,0,False
INTB 336,10.0,,0,0,False
HIST 291,10.0,,0,0,False
PSCI 140,10.0,,0,0,False
PSCI 150,10.0,,0,0,False
PSCI 351,10.0,,0,0,False
PSCI 352,10.0,,0,0,False
PSCI 353,10.0,,0,0,False
COM 360,10.0,,0,0,False
SOC 330,10.0,,0,0,False
PHIL 335,10.0,,0,0,False
WGST 240,10.0,,0,0,False
