Sequence,Credits,Type,Flag,Num,Taken
HSAD 210,3.0,,0,0,False
HSAD 310,3.0,,0,0,False
HSAD 334,3.0,,0,0,False
HSAD 330 ^ HSAD 340 ^ HSAD 345,3.0,,6,0,False
HSAD 215 ^ HSAD 225 ^ HSAD 305 ^ HSAD 308 ^ HSAD 309 ^ HSAD 312 ^ HSAD 313 ^ HSAD 315 ^ HSAD 316 ^ HSAD 317 ^ HSAD 318 ^ HSAD 319 ^ HSAD 320 ^ HSAD 321 ^ HSAD 322 ^ HSAD 323 ^ HSAD 324 ^ HSAD 325 ^ HSAD 326 ^ HSAD 327 ^ HSAD 328 ^ HSAD 329 ^ HSAD 330 ^ HSAD 331 [WI] ^ HSAD 332 [WI] ^ HSAD 336 ^ HSAD 337 ^ HSAD 340 ^ HSAD 341 ^ HSAD 342 ^ HSAD 343 ^ HSAD 345 ^ HSAD 346 ^ HSAD 351 ^ HSAD 353 ^ HSAD 357 ^ HSAD 360 ^ HSAD 362 ^ HSAD 363 ^ HSAD 365 ^ HSAD 366 ^ HSAD T180 ^ HSAD T280 ^ HSAD T380 ^ HSAD T480,12.0,,6,0,False
