Sequence,Credits,Type,Flag,Num,Taken
CS 341,3.0,Game Programming and Development,0,3,False
CS 342,3.0,Game Programming and Development,0,3,False
CS 345,3.0,Game Programming and Development,7,3,False
CS 387,3.0,Game Programming and Development,0,3,False
GMAP 377,3.0,Game Programming and Development,0,3,False
GMAP 378,3.0,Game Programming and Development,0,3,False
