Sequence,Credits,Type,Flag,Num,Taken
BIO 211 | BIO 214,4.0,,4,0,False
BIO 306,2.0,,0,0,False
BIO 311,4.0,,0,0,False
CHEM 242,4.0,,0,0,False
CHEM 243,3.0,,0,0,False
Elective,9.0,Elective Courses: ,1,0,False
BIO 209 | BIO 218,9.0,,4,0,False
BIO 314,Principles of Molecular Biology,,0,0,False
BIO 331,Principles of Molecular Biology,,0,0,False
BIO 332,Principles of Molecular Biology,,0,0,False
BIO 404,Principles of Molecular Biology,,0,0,False
BIO 416,Principles of Molecular Biology,,0,0,False
BIO 453,Principles of Molecular Biology,,0,0,False
CHEM 244,Principles of Molecular Biology,,0,0,False
CHEM 245,Principles of Molecular Biology,,0,0,False
CHEM 371,Principles of Molecular Biology,,0,0,False
CHEM 375,Principles of Molecular Biology,,0,0,False
