ANIM 412,3.0," ANIM 212 [Min Grade: D]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832E8C10>>
ANIM 435,3.0," ANIM 231 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832E8D00>>
ANIM I199,0.0-12.0,,"[False, False, False, False]",
ANIM I299,0.0-12.0,,"[False, False, False, False]",
ANIM I399,0.5-12.0,,"[False, False, False, False]",
ANIM I499,0.0-12.0,,"[False, False, False, False]",
ANIM T180,0.0-12.0,,"[False, False, False, False]",
ANIM T280,0.0-12.0,,"[False, False, True, True]",
ANIM T380,0.0-12.0,,"[True, True, True, False]",
ANIM T480,3.0,,"[False, False, False, False]",
ARCH 107,2.0,,"[True, False, False, False]",
ARCH 108,2.0," ARCH 107 [Min Grade: C]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C832CA2F0>>
ARCH 109,2.0," ARCH 108 [Min Grade: C]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83456380>>
ARCH 141,3.0,,"[True, False, True, False]",
ARCH 142,3.0," ARCH 141 [Min Grade: C-]
","[False, True, False, True]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83456560>>
ARCH 143,3.0," ARCH 142 [Min Grade: C-]
","[True, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83456650>>
ARCH 144,3.0," ARCH 143 [Min Grade: C-]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83456740>>
ARCH 170,3.0," PHYS 182 [Min Grade: C-] and (MATH 102 [Min Grade: C-] or MATH 183 [Min Grade: C-])
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83456830>>
ARCH 172,3.0," ARCH 170 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83456A40>>
ARCH 173,3.0," ARCH 172 [Min Grade: C-]
","[False, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83456B30>>
ARCH 181,4.0,,"[True, False, False, False]", Can enroll if major is ARCH.
ARCH 182,4.0," ARCH 181 [Min Grade: C-]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83456D10>>
ARCH 183,4.0," ARCH 182 [Min Grade: C-] or INTR 233 [Min Grade: C-]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83456E00>>
ARCH 191,3.0,,"[False, False, False, True]", Can enroll if major is AE.
ARCH 192,3.0," ARCH 191 [Min Grade: D]
","[True, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83457040>>
ARCH 211,2.0,,"[True, False, False, False]", Can enroll if major is ARCH.
ARCH 212,2.0," ARCH 211 [Min Grade: C-]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83457220>>
ARCH 213,2.0," ARCH 212 [Min Grade: C-]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83457310>>
ARCH 221,1.5," ARCH 183 [Min Grade: C-]
","[True, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83457400>>
ARCH 222,1.5," ARCH 221 [Min Grade: C-]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834574F0>>
ARCH 223,1.5," ARCH 222 [Min Grade: C-]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834575E0>>
ARCH 224,2.0," ARCH 213 [Min Grade: C-] and ARCH 183 [Min Grade: C-]
","[True, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C834576D0>>
ARCH 225,2.0," ARCH 224 [Min Grade: C-] and ARCH 281 [Min Grade: C-]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83457880>>
ARCH 226,2.0," ARCH 225 [Min Grade: C-] and ARCH 282 [Min Grade: C-]
","[False, False, True, True]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83457A30>>
ARCH 251,1.5," ARCH 183 [Min Grade: C-] and PHYS 182 [Min Grade: C-] and (MATH 102 [Min Grade: C-] or MATH 173 [Min Grade: C-] or MATH 183 [Min Grade: C-])
","[True, False, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83457BE0>>
ARCH 252,1.5," ARCH 251 [Min Grade: C-]
","[False, True, False, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83457F10>>
ARCH 253,1.5," ARCH 252 [Min Grade: C-]
","[False, False, True, False]",<bound method Course.getRestrctionString of <course.Course object at 0x0000022C83457FA0>>
