Sequence,Credits,Type,Flag,Num,Taken
WRIT 195 | WRIT 200 ^ WRIT 210 [WI] | WRIT 211 ^ WRIT 225 [WI] | WRIT 212 ^ WRIT 312 [WI] | WRIT 315,3.0,,6,0,False
ANTH 330 ^ COM 210 ^ COM 220 ^ COM 355 ^ EDUC 236 ^ EDUC 326 [WI] ^ ENGL 200 [WI] ^ ENGL 201 ^ ENGL 202 [WI] ^ ENGL 203 [WI] ^ ENGL 204 ^ ENGL 205 [WI] ^ ENGL 206 [WI] ^ ENGL 207 [WI] ^ ENGL 211 [WI] ^ ENGL 212 ^ ENGL 214 ^ ENGL 215 [WI] ^ ENGL 216 [WI] ^ LING 101 ^ LING 102 ^ PHIL 105 ^ PHIL 305 ^ PSCI 330 ^ PSCI 335 ^ WRIT 195 ^ WRIT 200 ^ WRIT 210 [WI] ^ WRIT 211 ^ WRIT 212 ^ WRIT 250 ^ WRIT 295,3.0,,6,0,False
COM 160 [WI] ^ COM 270 [WI] ^ COM 310 [WI] ^ COM 320 [WI] ^ COM 335 [WI] ^ CULA 412 ^ SCRP 220 ^ SCRP 225 ^ SCRP 270 [WI] ^ SCRP 275 [WI] ^ SCRP 350 ^ SCRP 353 ^ TVPR 220 ^ WRIT 215 [WI] ^ WRIT 220 [WI] ^ WRIT 225 [WI] ^ WRIT 226 ^ WRIT 280 ^ WRIT 290 ^ WRIT 301 [WI] ^ WRIT 302 [WI] ^ WRIT 303 ^ WRIT 305 ^ WRIT 306 ^ WRIT 310 ^ WRIT 311 ^ WRIT 312 [WI] ^ WRIT 315 ^ WRIT 320 ^ WRIT 400 [WI] ^ WRIT 401 ^ WRIT 402 ^ WRIT 405 ^ WRIT T280 ^ WRIT T380 ^ WRIT T480,9.0,,6,0,False
