Sequence,Credits,Type,Flag,Num,Taken
ARTH 101,3.0,,0,0,False
ARTH 102,3.0,,0,0,False
ARTH 103,3.0,,6,0,False
ARTH 150,15.0,,0,0,False
ARTH 200,15.0,,0,0,False
ARTH 300 [WI],15.0,,0,0,False
ARTH 301,15.0,,0,0,False
ARTH 302,15.0,,0,0,False
ARTH 303,15.0,,0,0,False
ARTH 304,15.0,,0,0,False
ARTH 313,15.0,,0,0,False
ARTH 314,15.0,,0,0,False
ARTH 315,15.0,,0,0,False
ARTH 316,15.0,,0,0,False
ARTH 318,15.0,,0,0,False
ARTH 321,15.0,,0,0,False
ARTH 325,15.0,,0,0,False
ARTH 326,15.0,,0,0,False
ARTH 327,15.0,,0,0,False
ARTH 328,15.0,,0,0,False
ARTH 331 [WI],15.0,,0,0,False
ARTH 335 [WI],15.0,,0,0,False
ARTH 336 [WI],15.0,,0,0,False
ARTH 337,15.0,,0,0,False
ARTH 340,15.0,,0,0,False
ARTH 477,15.0,,0,0,False
ARTH I399,15.0,,0,0,False
ARTH I499,15.0,,0,0,False
ARTH T380,15.0,,0,0,False
ARTH T480,15.0,,0,0,False
ARCH 141,15.0,,0,0,False
ARCH 142,15.0,,0,0,False
ARCH 143,15.0,,0,0,False
ARCH 341 [WI],15.0,,0,0,False
ARCH 342 [WI],15.0,,0,0,False
ARCH 343,15.0,,0,0,False
ARCH 346 [WI],15.0,,0,0,False
ARCH 347 [WI],15.0,,0,0,False
ARCH 348 [WI],15.0,,0,0,False
ARCH 421 [WI],15.0,,0,0,False
ARCH 441,15.0,,0,0,False
ARCH T380,15.0,,0,0,False
ARCH I399,15.0,,0,0,False
ARCH I499,15.0,,0,0,False
ARCH T480,15.0,,0,0,False
FMST 101,15.0,,0,0,False
FMST 102,15.0,,0,0,False
FMST 103,15.0,,0,0,False
FMST 150,15.0,,0,0,False
FMST 250,15.0,,0,0,False
FMST 255,15.0,,0,0,False
FMST 260,15.0,,0,0,False
FMST T380,15.0,,0,0,False
FMST T480,15.0,,0,0,False
INTR 200,15.0,,0,0,False
INTR 300 [WI],15.0,,0,0,False
INTR 305 [WI],15.0,,0,0,False
VSCM 350 [WI],15.0,,0,0,False
THTR 221 [WI],15.0,,0,0,False
THTR 222 [WI],15.0,,0,0,False
PHTO 275 [WI],15.0,,0,0,False
PHTO 276 [WI],15.0,,0,0,False
PHTO 452 [WI],15.0,,0,0,False
