Sequence,Credits,Type,Flag,Num,Taken
CJS 260,4.0,None?,0,0,False
CJS 262,3.0,None?,0,0,False
CJS 263,3.0,None?,0,0,False
CJS 303,3.0,None?,0,0,False
CJS 330,4.0,None?,0,0,False
ANTH 112 ^ ANTH 117 ^ ANTH 212 [WI] ^ ARTH 314 ^ ARTH 315 ^ COM 181 ^ COM 210 ^ COM 377 ^ ECON 201 ^ ECON 365 ^ ENSS 120 ^ ENSS 244 ^ ENSS 283 ^ ENSS 285 ^ ENSS 326 ^ ENSS 346 ^ ENVS 275 ^ ENTP 210 [WI] ^ ENTP 215 ^ ENTP 225 [WI] ^ ENTP 250 ^ ENTP 270 ^ ENTP 275 ^ ENTP 285 ^ ENTP 290 ^ GST 221 ^ GST 231 ^ GST 241 ^ GST 251 ^ GST 261 ^ PSY 150 ^ PSY 252 ^ PSY 254 ^ PSY 270 ^ SOC 210 ^ SOC 220 ^ SOC 221 ^ SOC 235 ^ SOC 240 ^ SOC 244 ^ SOC 318 ^ SOC 406 ^ WGST 101 ^ WGST 201 ^ WGST 225 ^ WGST 240 ^ WGST 275,9.0,None?,6,0,False
