Sequence,Credits,Type,Flag,Num,Taken
ENGL 200 [WI] ^ ENGL 201 ^ ENGL 202 [WI] ^ ENGL 203 [WI] ^ ENGL 204 ^ ENGL 205 [WI] ^ ENGL 206 [WI] ^ ENGL 207 [WI] ^ ENGL 211 [WI] ^ ENGL 212 ^ ENGL 214 ^ ENGL 215 [WI] ^ ENGL 216 [WI],9.0,None?,6,0,False
WRIT 220 [WI],6.0,None?,0,0,False
WRIT 225 [WI],6.0,None?,0,0,False
WRIT 301 [WI],6.0,None?,0,0,False
WRIT 302 [WI],6.0,None?,0,0,False
WRIT 303,6.0,None?,0,0,False
WRIT 306,6.0,None?,0,0,False
WRIT 310,6.0,None?,0,0,False
WRIT 312 [WI],6.0,None?,0,0,False
WRIT T380,6.0,None?,0,0,False
WRIT 400 [WI],6.0,None?,0,0,False
WRIT 405,6.0,None?,0,0,False
ENGL 300 [WI] ^ ENGL 302 ^ ENGL 303 ^ ENGL 305 [WI] ^ ENGL 306 ^ ENGL 307 ^ ENGL 310 [WI] ^ ENGL 315 [WI] ^ ENGL 320 [WI] ^ ENGL 325 ^ ENGL 330 ^ ENGL 335 ^ ENGL 345 ^ ENGL 350 ^ ENGL 355 [WI] ^ ENGL 360 [WI] ^ ENGL 365 ^ ENGL 370 ^ ENGL 380,9.0,None?,6,0,False
